µ¥´Ê:              disinterest	   ´ÊÆµ: 1
µ¥´Ê:               suppressed	   ´ÊÆµ: 1
µ¥´Ê:                grey-eyed	   ´ÊÆµ: 1
µ¥´Ê:                 vocation	   ´ÊÆµ: 1
µ¥´Ê:                  insofar	   ´ÊÆµ: 1
µ¥´Ê:               half-bored	   ´ÊÆµ: 1
µ¥´Ê:          half-distracted	   ´ÊÆµ: 1
µ¥´Ê:                   talent	   ´ÊÆµ: 1
µ¥´Ê:            heavy-looking	   ´ÊÆµ: 1
µ¥´Ê:                 half-hid	   ´ÊÆµ: 1
µ¥´Ê:              frostfallen	   ´ÊÆµ: 1
µ¥´Ê:                eloquence	   ´ÊÆµ: 1
µ¥´Ê:               reflective	   ´ÊÆµ: 1
µ¥´Ê:                   unmans	   ´ÊÆµ: 1
µ¥´Ê:             acquiescence	   ´ÊÆµ: 1
µ¥´Ê:                  edge-on	   ´ÊÆµ: 1
µ¥´Ê:              ghost-light	   ´ÊÆµ: 1
µ¥´Ê:                 outflung	   ´ÊÆµ: 1
µ¥´Ê:                   tatter	   ´ÊÆµ: 1
µ¥´Ê:                crispness	   ´ÊÆµ: 1
µ¥´Ê:                consorted	   ´ÊÆµ: 1
µ¥´Ê:              surnmerwine	   ´ÊÆµ: 1
µ¥´Ê:                 moonturn	   ´ÊÆµ: 1
µ¥´Ê:                  omitted	   ´ÊÆµ: 1
µ¥´Ê:                brutalize	   ´ÊÆµ: 1
µ¥´Ê:                   primal	   ´ÊÆµ: 1
µ¥´Ê:               misshappen	   ´ÊÆµ: 1
µ¥´Ê:                greenwood	   ´ÊÆµ: 1
µ¥´Ê:                 deep-cut	   ´ÊÆµ: 1
µ¥´Ê:                  mottoes	   ´ÊÆµ: 1
µ¥´Ê:              touchstones	   ´ÊÆµ: 1
µ¥´Ê:               ironsmiths	   ´ÊÆµ: 1
µ¥´Ê:               desertions	   ´ÊÆµ: 1
µ¥´Ê:              infestation	   ´ÊÆµ: 1
µ¥´Ê:                   dealer	   ´ÊÆµ: 1
µ¥´Ê:                   slouch	   ´ÊÆµ: 1
µ¥´Ê:              silhouettes	   ´ÊÆµ: 1
µ¥´Ê:                   rhaesh	   ´ÊÆµ: 1
µ¥´Ê:                  andahli	   ´ÊÆµ: 1
µ¥´Ê:               quickening	   ´ÊÆµ: 1
µ¥´Ê:                new-built	   ´ÊÆµ: 1
µ¥´Ê:               braavosian	   ´ÊÆµ: 1
µ¥´Ê:              silver-pale	   ´ÊÆµ: 1
µ¥´Ê:                     torc	   ´ÊÆµ: 1
µ¥´Ê:             breathlessly	   ´ÊÆµ: 1
µ¥´Ê:            flame-colored	   ´ÊÆµ: 1
µ¥´Ê:               enraptured	   ´ÊÆµ: 1
µ¥´Ê:               emphasized	   ´ÊÆµ: 1
µ¥´Ê:             nine-towered	   ´ÊÆµ: 1
µ¥´Ê:                pinchfire	   ´ÊÆµ: 1
µ¥´Ê:                     moro	   ´ÊÆµ: 1
µ¥´Ê:                  rhogoro	   ´ÊÆµ: 1
µ¥´Ê:                  cottons	   ´ÊÆµ: 1
µ¥´Ê:              submissions	   ´ÊÆµ: 1
µ¥´Ê:                 unfallen	   ´ÊÆµ: 1
µ¥´Ê:           bone-crunching	   ´ÊÆµ: 1
µ¥´Ê:               clear-eyed	   ´ÊÆµ: 1
µ¥´Ê:            double-decked	   ´ÊÆµ: 1
µ¥´Ê:                 carriage	   ´ÊÆµ: 1
µ¥´Ê:              formalities	   ´ÊÆµ: 1
µ¥´Ê:                fireplums	   ´ÊÆµ: 1
µ¥´Ê:              summerwines	   ´ÊÆµ: 1
µ¥´Ê:               semicircle	   ´ÊÆµ: 1
µ¥´Ê:            by-your-leave	   ´ÊÆµ: 1
µ¥´Ê:                  welfare	   ´ÊÆµ: 1
µ¥´Ê:              second-most	   ´ÊÆµ: 1
µ¥´Ê:                  drafted	   ´ÊÆµ: 1
µ¥´Ê:             good-humored	   ´ÊÆµ: 1
µ¥´Ê:                 fishmaid	   ´ÊÆµ: 1
µ¥´Ê:                  choicer	   ´ÊÆµ: 1
µ¥´Ê:              squashed-in	   ´ÊÆµ: 1
µ¥´Ê:                   ruffle	   ´ÊÆµ: 1
µ¥´Ê:                sincerely	   ´ÊÆµ: 1
µ¥´Ê:                 befitted	   ´ÊÆµ: 1
µ¥´Ê:                sculpture	   ´ÊÆµ: 1
µ¥´Ê:             achievements	   ´ÊÆµ: 1
µ¥´Ê:               lovemaking	   ´ÊÆµ: 1
µ¥´Ê:                producing	   ´ÊÆµ: 1
µ¥´Ê:                artifacts	   ´ÊÆµ: 1
µ¥´Ê:             lenscrafters	   ´ÊÆµ: 1
µ¥´Ê:                impulsive	   ´ÊÆµ: 1
µ¥´Ê:                   adders	   ´ÊÆµ: 1
µ¥´Ê:               refinement	   ´ÊÆµ: 1
µ¥´Ê:               privileged	   ´ÊÆµ: 1
µ¥´Ê:                   cooing	   ´ÊÆµ: 1
µ¥´Ê:                harshness	   ´ÊÆµ: 1
µ¥´Ê:                remarking	   ´ÊÆµ: 1
µ¥´Ê:                 starched	   ´ÊÆµ: 1
µ¥´Ê:               lusterless	   ´ÊÆµ: 1
µ¥´Ê:               positively	   ´ÊÆµ: 1
µ¥´Ê:                   donnis	   ´ÊÆµ: 1
µ¥´Ê:                    swats	   ´ÊÆµ: 1
µ¥´Ê:                rain-worn	   ´ÊÆµ: 1
µ¥´Ê:                  bedroom	   ´ÊÆµ: 1
µ¥´Ê:                 screened	   ´ÊÆµ: 1
µ¥´Ê:                ayrmidons	   ´ÊÆµ: 1
µ¥´Ê:                  lungful	   ´ÊÆµ: 1
µ¥´Ê:                laborious	   ´ÊÆµ: 1
µ¥´Ê:              corkscrewed	   ´ÊÆµ: 1
µ¥´Ê:                soot-dark	   ´ÊÆµ: 1
µ¥´Ê:              perfunctory	   ´ÊÆµ: 1
µ¥´Ê:              fashionable	   ´ÊÆµ: 1
µ¥´Ê:               timorously	   ´ÊÆµ: 1
µ¥´Ê:                 celibate	   ´ÊÆµ: 1
µ¥´Ê:                wolfishly	   ´ÊÆµ: 1
µ¥´Ê:              emotionless	   ´ÊÆµ: 1
µ¥´Ê:                harnessed	   ´ÊÆµ: 1
µ¥´Ê:                  package	   ´ÊÆµ: 1
µ¥´Ê:                     whap	   ´ÊÆµ: 1
µ¥´Ê:                     kbal	   ´ÊÆµ: 1
µ¥´Ê:                   berate	   ´ÊÆµ: 1
µ¥´Ê:                rendering	   ´ÊÆµ: 1
µ¥´Ê:                 backbone	   ´ÊÆµ: 1
µ¥´Ê:               personally	   ´ÊÆµ: 1
µ¥´Ê:                sandsilks	   ´ÊÆµ: 1
µ¥´Ê:              gift-givers	   ´ÊÆµ: 1
µ¥´Ê:              insistently	   ´ÊÆµ: 1
µ¥´Ê:              exhilarated	   ´ÊÆµ: 1
µ¥´Ê:                   creaks	   ´ÊÆµ: 1
µ¥´Ê:                   groans	   ´ÊÆµ: 1
µ¥´Ê:                     axle	   ´ÊÆµ: 1
µ¥´Ê:                 vagabond	   ´ÊÆµ: 1
µ¥´Ê:                   aleena	   ´ÊÆµ: 1
µ¥´Ê:                   merryl	   ´ÊÆµ: 1
µ¥´Ê:                 flatness	   ´ÊÆµ: 1
µ¥´Ê:                graveyard	   ´ÊÆµ: 1
µ¥´Ê:                   bicker	   ´ÊÆµ: 1
µ¥´Ê:              trepidation	   ´ÊÆµ: 1
µ¥´Ê:            pointy-hatted	   ´ÊÆµ: 1
µ¥´Ê:                royalists	   ´ÊÆµ: 1
µ¥´Ê:               professing	   ´ÊÆµ: 1
µ¥´Ê:                 cowherds	   ´ÊÆµ: 1
µ¥´Ê:             helplessness	   ´ÊÆµ: 1
µ¥´Ê:             promontories	   ´ÊÆµ: 1
µ¥´Ê:                    brier	   ´ÊÆµ: 1
µ¥´Ê:               castration	   ´ÊÆµ: 1
µ¥´Ê:                awakening	   ´ÊÆµ: 1
µ¥´Ê:               regretting	   ´ÊÆµ: 1
µ¥´Ê:                northward	   ´ÊÆµ: 1
µ¥´Ê:                resources	   ´ÊÆµ: 1
µ¥´Ê:               in-the-way	   ´ÊÆµ: 1
